actiongeocountrycode,eventbasecode,No_events,Tone,Goldstein,yearmonth
AC,087,3,-1.3268647487752465,10.0,202002
AC,090,1,-1.3089005235602,-2.0,202001
AC,090,2,1.9642230130486351,-2.0,202002
AC,100,2,-1.69986353855036,-5.0,192001
AC,100,1,1.85185185185185,-5.0,202001
AC,100,1,-4.69208211143695,-5.0,202002
AC,104,2,1.30660168251552,-5.0,202002
AC,110,1,1.73535791757049,-2.0,202001
AC,110,10,-0.5930291537258431,-2.0,202002
AC,111,2,4.179653972986404,-2.0,192001
AC,111,1,0.46439628482972,-2.0,202001
AC,111,9,-2.3611002655965185,-2.0,202002
AC,112,1,-10.4712041884817,-2.0,201902
AC,112,3,-0.8251374073843,-2.0,202002
AC,114,2,-4.166666666666665,-2.0,202001
AC,114,4,0.401766169104775,-2.0,202002
AC,120,2,-3.063778494699895,-4.0,202001
AC,120,12,-1.7963014353685842,-4.0,202002
AC,128,1,2.54378648874061,-5.0,202002
AC,130,1,1.59362549800797,-4.4,202001
AC,130,5,-5.73599730609496,-4.4,202002
AC,160,2,-2.2348741804879952,-4.0,202001
AC,160,3,-1.7079478041335034,-4.0,202002
AC,161,2,1.59111507166979,-4.0,202002
AC,171,3,-2.88659793814433,-9.2,202002
AC,172,6,-1.1845756494661466,-5.0,202001
AC,172,3,-0.11111111111111338,-5.0,202002
AC,173,6,-11.771152555958565,-5.0,192001
AC,173,1,-10.4712041884817,-5.0,201902
AC,173,11,-2.5910794834533344,-5.0,202001
AC,173,26,-2.3014643705938473,-5.0,202002
AC,182,4,0.43159790160545497,-9.5,202001
AC,190,1,-10.4712041884817,-10.0,201902
AC,190,2,-11.2676056338028,-10.0,202001
AC,192,1,3.82096069868996,-9.5,192001
AC,192,1,-2.24525043177892,-9.5,202001
AC,192,2,-0.5701615457713001,-9.5,202002
AC,193,1,-0.66070734551107,-10.0,202001
AC,193,1,-0.8595988538682,-10.0,202002
AE,010,115,-0.8497676172753938,0.0,192001
AE,010,1,2.12224108658744,0.0,201002
AE,010,10,0.46806176641955,0.0,201901
AE,010,16,-3.054279679948923,0.0,201902
AE,010,9,-0.6500873833259802,0.0,201912
AE,010,906,-1.234233893920819,0.0,202001
AE,010,890,-0.2238690529095825,0.0,202002
AE,011,13,-4.998913418810331,-0.1,202001
AE,011,13,-1.6812558390288723,-0.1,202002
AE,012,15,-1.4119414538757853,-0.4,192001
AE,012,1,-3.97196261682243,-0.4,201901
AE,012,1,5.88235294117647,-0.4,201902
AE,012,2,-8.37563451776647,-0.4,201912
AE,012,115,-2.893006369144372,-0.4,202001
AE,012,118,-1.5504798777158173,-0.4,202002
AE,013,22,0.3800476992870777,0.4,192001
AE,013,3,1.2898756567352831,0.4000000000000001,201901
AE,013,3,2.2191188395350956,0.4000000000000001,201902
AE,013,277,-0.5404025168264573,0.4,202001
AE,013,256,0.7235733228332372,0.4,202002
AE,014,5,1.20019067994355,0.0,192001
AE,014,2,-0.36764705882353,0.0,201902
AE,014,75,0.7114539478750335,0.0,202001
AE,014,86,-0.1877444171262567,0.0,202002
AE,015,44,-4.054905687724044,0.0,202001
AE,015,15,-3.623483243185953,0.0,202002
AE,016,2,-4.54545454545455,-2.0,192001
AE,016,2,-3.267219657948135,-2.0,201901
AE,016,30,-5.209720052872918,-2.0,202001
AE,016,23,-4.146161819191787,-2.0,202002
AE,017,9,-0.10081855530262009,0.0,192001
AE,017,3,3.86392779526145,0.0,201901
AE,017,3,4.97630331753555,0.0,201912
AE,017,148,1.491039985251654,0.0,202001
AE,017,83,3.2266993963094714,0.0,202002
AE,018,11,-5.051161192720133,3.4,192001
AE,018,54,-2.0563235878203523,3.4,202001
AE,018,38,-3.6454209481253868,3.4,202002
AE,019,1,-4.37956204379562,3.4,202002
AE,020,110,-3.15640700373211,3.0,192001
AE,020,8,2.92597078104577,3.0,201901
AE,020,16,-0.8500123666301609,3.0,201902
AE,020,3,0.5860663491229934,3.0,201912
AE,020,635,-1.0449522635387822,3.0,202001
AE,020,562,-0.4351955178781177,3.0,202002
AE,021,2,-0.35460992907801,3.4,192001
AE,021,9,-2.628570220360829,3.4,202001
AE,021,9,-3.616800691581245,3.4,202002
AE,022,1,2.21465076660988,3.2,192001
AE,022,40,0.49816172127754027,3.2,202001
AE,022,12,0.7586638137395991,3.2000000000000006,202002
AE,023,1,-4.67836257309942,3.4,192001
AE,023,1,1.8348623853211,3.4,201912
AE,023,11,-2.346362772816791,3.4,202001
AE,023,24,-1.1671415241203535,3.4,202002
AE,024,3,-3.81662043052251,-0.3,202001
AE,024,8,-0.5000437675070025,-0.3,202002
AE,025,4,-4.673597382785095,-0.3,192001
AE,025,16,-5.033969176556801,-0.3,202001
AE,025,23,-3.3321718398893823,-0.3,202002
AE,026,33,1.3279964849989132,4.0,202001
AE,026,34,-0.732937046769311,4.0,202002
AE,027,5,0.1587775221204339,4.0,202001
AE,027,1,-0.84925690021232,4.0,202002
AE,028,1,-1.02739726027397,4.0,192001
AE,028,3,8.058608058608073,4.0,202001
AE,028,1,4.83558994197292,4.0,202002
AE,030,20,-0.7933180753135689,4.0,192001
AE,030,6,-0.16609624419471328,4.0,201901
AE,030,181,1.185580337545272,4.0,202001
AE,030,211,1.323978501935145,4.0,202002
AE,031,10,1.407035332664107,5.2,192001
AE,031,3,1.30081300813008,5.2,201901
AE,031,8,0.39795918367346994,5.2,201902
AE,031,152,0.471399341985191,5.2,202001
AE,031,156,2.5946706658649137,5.2,202002
AE,032,1,4.81283422459893,4.5,192001
AE,032,8,4.312037377102278,4.5,202001
AE,032,9,0.9298749877305501,4.5,202002
AE,033,8,2.0544884601931788,5.2,192001
